2018-08-20 23:15:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:15:55.020897|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:25:51.239894|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:25:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:25:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:35:51.257241|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:35:53.001245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:35:55.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:45:51.235053|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:45:53.027499|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:45:55.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:55:51.342042|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:55:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:55:55.021886|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:05:51.344556|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:05:53.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:05:55.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:15:51.433593|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:15:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:15:55.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:25:51.440541|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:25:53.027537|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:25:55.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:35:51.534651|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:35:53.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:35:55.015631|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:45:51.629304|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:45:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:45:55.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:55:51.659258|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:55:53.005248|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 00:55:55.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:05:51.737908|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:05:53.021776|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:05:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:15:51.744144|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:15:53.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:15:55.020133|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:25:51.746023|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:25:53.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:25:55.001245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:35:51.856555|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:35:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:35:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:45:51.843560|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:45:53.027575|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:45:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:55:51.843832|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:55:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 01:55:55.029302|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 02:05:51.922560|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-21 02:05:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
